,State,Year,Data
500,South Dakota,1969,159805.0
501,Tennessee,1969,1340773.0
502,Texas,1969,6656323.0
503,Utah,1969,395838.0
504,Virginia,1969,1237230.0
505,Vermont,1969,106584.0
506,Washington,1969,1296162.0
507,Wisconsin,1969,1248392.0
508,West Virginia,1969,796648.0
509,Wyoming,1969,250536.0
510,Alaska,1970,182039.0
511,Alabama,1970,1393497.0
512,Arkansas,1970,708904.0
513,Arizona,1970,520401.0
514,California,1970,5499139.0
515,Colorado,1970,677623.0
516,Connecticut,1970,693930.0
517,District of Columbia,1970,205891.0
518,Delaware,1970,219722.0
519,Florida,1970,1577450.0
520,Georgia,1970,1280820.0
521,Hawaii,1970,196947.0
522,Iowa,1970,850609.0
523,Idaho,1970,296399.0
524,Illinois,1970,3696737.0
525,Indiana,1970,2219775.0
526,Kansas,1970,874267.0
527,Kentucky,1970,1104720.0
528,Louisiana,1970,2836864.0
529,Massachusetts,1970,1464384.0
530,Maryland,1970,1067972.0
531,Maine,1970,302380.0
532,Michigan,1970,2702538.0
533,Minnesota,1970,1107892.0
534,Missouri,1970,1309269.0
535,Mississippi,1970,746912.0
536,Montana,1970,322784.0
537,North Carolina,1970,1342676.0
538,North Dakota,1970,191117.0
539,Nebraska,1970,487481.0
540,New Hampshire,1970,186601.0
541,New Jersey,1970,1977939.0
542,New Mexico,1970,458694.0
543,Nevada,1970,190122.0
544,New York,1970,4303439.0
545,Ohio,1970,3932645.0
546,Oklahoma,1970,939226.0
547,Oregon,1970,752924.0
548,Pennsylvania,1970,4106916.0
549,Rhode Island,1970,222536.0
550,South Carolina,1970,745729.0
551,South Dakota,1970,168792.0
552,Tennessee,1970,1365610.0
553,Texas,1970,6921781.0
554,Utah,1970,397019.0
555,Virginia,1970,1279028.0
556,Vermont,1970,113222.0
557,Washington,1970,1294145.0
558,Wisconsin,1970,1289050.0
559,West Virginia,1970,795739.0
560,Wyoming,1970,255480.0
561,Alaska,1971,200962.0
562,Alabama,1971,1384940.0
563,Arkansas,1971,700736.0
564,Arizona,1971,554212.0
565,California,1971,5747656.0
566,Colorado,1971,691909.0
567,Connecticut,1971,682588.0
568,District of Columbia,1971,199397.0
569,Delaware,1971,222353.0
570,Florida,1971,1674133.0
571,Georgia,1971,1348865.0
572,Hawaii,1971,211673.0
573,Iowa,1971,862483.0
574,Idaho,1971,311605.0
575,Illinois,1971,3722756.0
576,Indiana,1971,2236217.0
577,Kansas,1971,908254.0
578,Kentucky,1971,1117666.0
579,Louisiana,1971,2897554.0
580,Massachusetts,1971,1493798.0
581,Maryland,1971,1104522.0
582,Maine,1971,353571.0
583,Michigan,1971,2798196.0
584,Minnesota,1971,1148516.0
585,Missouri,1971,1326842.0
586,Mississippi,1971,786107.0
587,Montana,1971,333934.0
588,North Carolina,1971,1403918.0
589,North Dakota,1971,195302.0
590,Nebraska,1971,496173.0
591,New Hampshire,1971,201058.0
592,New Jersey,1971,1970817.0
593,New Mexico,1971,469511.0
594,Nevada,1971,201661.0
595,New York,1971,4251263.0
596,Ohio,1971,3871518.0
597,Oklahoma,1971,965680.0
598,Oregon,1971,796879.0
599,Pennsylvania,1971,4044955.0
600,Rhode Island,1971,235513.0
601,South Carolina,1971,779638.0
602,South Dakota,1971,170183.0
603,Tennessee,1971,1371116.0
604,Texas,1971,7233774.0
605,Utah,1971,415199.0
606,Virginia,1971,1322363.0
607,Vermont,1971,116968.0
608,Washington,1971,1320979.0
609,Wisconsin,1971,1293197.0
610,West Virginia,1971,779534.0
611,Wyoming,1971,268453.0
612,Alaska,1972,214377.0
613,Alabama,1972,1478039.0
614,Arkansas,1972,744634.0
615,Arizona,1972,616452.0
616,California,1972,5872011.0
617,Colorado,1972,756325.0
618,Connecticut,1972,717611.0
619,District of Columbia,1972,188830.0
620,Delaware,1972,232526.0
621,Florida,1972,1804005.0
622,Georgia,1972,1435584.0
623,Hawaii,1972,218057.0
624,Iowa,1972,904471.0
625,Idaho,1972,334033.0
626,Illinois,1972,3929667.0
627,Indiana,1972,2435885.0
628,Kansas,1972,961171.0
629,Kentucky,1972,1203074.0
630,Louisiana,1972,3083286.0
631,Massachusetts,1972,1546466.0
632,Maryland,1972,1122760.0
633,Maine,1972,380418.0
634,Michigan,1972,2970324.0
635,Minnesota,1972,1209799.0
636,Missouri,1972,1383498.0
637,Mississippi,1972,830744.0
638,Montana,1972,342383.0
639,North Carolina,1972,1480269.0
640,North Dakota,1972,203742.0
641,Nebraska,1972,509525.0
642,New Hampshire,1972,212305.0
643,New Jersey,1972,2079998.0
644,New Mexico,1972,501736.0
645,Nevada,1972,217655.0
646,New York,1972,4269847.0
647,Ohio,1972,4125705.0
648,Oklahoma,1972,1019204.0
649,Oregon,1972,837435.0
650,Pennsylvania,1972,4187795.0
651,Rhode Island,1972,236763.0
652,South Carolina,1972,834960.0
653,South Dakota,1972,179190.0
654,Tennessee,1972,1473992.0
655,Texas,1972,7623194.0
656,Utah,1972,428177.0
657,Virginia,1972,1375395.0
658,Vermont,1972,123917.0
659,Washington,1972,1462402.0
660,Wisconsin,1972,1287690.0
661,West Virginia,1972,828980.0
662,Wyoming,1972,286868.0
663,Alaska,1973,196965.0
664,Alabama,1973,1527209.0
665,Arkansas,1973,820083.0
666,Arizona,1973,670117.0
667,California,1973,6047069.0
668,Colorado,1973,801930.0
669,Connecticut,1973,743064.0
670,District of Columbia,1973,193442.0
671,Delaware,1973,246392.0
672,Florida,1973,1995319.0
673,Georgia,1973,1555110.0
674,Hawaii,1973,224312.0
675,Iowa,1973,962796.0
676,Idaho,1973,337008.0
677,Illinois,1973,4019481.0
678,Indiana,1973,2474472.0
679,Kansas,1973,966322.0
680,Kentucky,1973,1236974.0
681,Louisiana,1973,3317510.0
682,Massachusetts,1973,1581551.0
683,Maryland,1973,1214593.0
684,Maine,1973,378940.0
685,Michigan,1973,3060405.0
686,Minnesota,1973,1257708.0
687,Missouri,1973,1418725.0
688,Mississippi,1973,847974.0
689,Montana,1973,347660.0
690,North Carolina,1973,1551096.0
691,North Dakota,1973,202197.0
692,Nebraska,1973,522129.0
693,New Hampshire,1973,216617.0
694,New Jersey,1973,2122047.0
695,New Mexico,1973,477784.0
696,Nevada,1973,233459.0
697,New York,1973,4419080.0
698,Ohio,1973,4218370.0
699,Oklahoma,1973,1024152.0
700,Oregon,1973,854962.0
701,Pennsylvania,1973,4294356.0
702,Rhode Island,1973,231946.0
703,South Carolina,1973,886118.0
704,South Dakota,1973,176823.0
705,Tennessee,1973,1614086.0
706,Texas,1973,8241366.0
707,Utah,1973,457776.0
708,Virginia,1973,1435070.0
709,Vermont,1973,126434.0
710,Washington,1973,1498556.0
711,Wisconsin,1973,1354483.0
712,West Virginia,1973,845774.0
713,Wyoming,1973,283507.0
714,Alaska,1974,201488.0
715,Alabama,1974,1547657.0
716,Arkansas,1974,798333.0
717,Arizona,1974,676309.0
718,California,1974,5816324.0
719,Colorado,1974,787106.0
720,Connecticut,1974,714126.0
721,District of Columbia,1974,171284.0
722,Delaware,1974,228887.0
723,Florida,1974,1929045.0
724,Georgia,1974,1495568.0
725,Hawaii,1974,212103.0
726,Iowa,1974,949663.0
727,Idaho,1974,347813.0
728,Illinois,1974,3956458.0
729,Indiana,1974,2432022.0
730,Kansas,1974,959652.0
731,Kentucky,1974,1228332.0
732,Louisiana,1974,3408243.0
733,Massachusetts,1974,1475055.0
734,Maryland,1974,1123057.0
735,Maine,1974,354413.0
736,Michigan,1974,2916310.0
737,Minnesota,1974,1237566.0
738,Missouri,1974,1399043.0
739,Mississippi,1974,817314.0
740,Montana,1974,351944.0
741,North Carolina,1974,1501847.0
742,North Dakota,1974,204358.0
743,Nebraska,1974,518540.0
744,New Hampshire,1974,206500.0
