,State,Year,Data
312,Connecticut,1966,16243
313,District of Columbia,1966,111
314,Delaware,1966,5852
315,Florida,1966,42760
316,Georgia,1966,109456
317,Hawaii,1966,1309
318,Iowa,1966,14994
319,Idaho,1966,81379
320,Illinois,1966,37080
321,Indiana,1966,24315
322,Kansas,1966,3529
323,Kentucky,1966,49311
324,Louisiana,1966,39754
325,Massachusetts,1966,58117
326,Maryland,1966,42103
327,Maine,1966,55812
328,Michigan,1966,56828
329,Minnesota,1966,35031
330,Missouri,1966,33010
331,Mississippi,1966,37816
332,Montana,1966,90332
333,North Carolina,1966,114335
334,North Dakota,1966,20421
335,Nebraska,1966,13955
336,New Hampshire,1966,24343
337,New Jersey,1966,23570
338,New Mexico,1966,6210
339,Nevada,1966,19632
340,New York,1966,288582
341,Ohio,1966,41531
342,Oklahoma,1966,13064
343,Oregon,1966,232649
344,Pennsylvania,1966,63676
345,Rhode Island,1966,3771
346,South Carolina,1966,67699
347,South Dakota,1966,51565
348,Tennessee,1966,128629
349,Texas,1966,51980
350,Utah,1966,10173
351,Virginia,1966,64055
352,Vermont,1966,15557
353,Washington,1966,617245
354,Wisconsin,1966,60892
355,West Virginia,1966,20101
356,Wyoming,1966,11106
357,Alaska,1967,8457
358,Alabama,1967,144384
359,Arkansas,1967,46124
360,Arizona,1967,56423
361,California,1967,473192
362,Colorado,1967,16908
363,Connecticut,1967,18072
364,District of Columbia,1967,112
365,Delaware,1967,5783
366,Florida,1967,44550
367,Georgia,1967,109475
368,Hawaii,1967,1389
369,Iowa,1967,14243
370,Idaho,1967,82252
371,Illinois,1967,37444
372,Indiana,1967,27363
373,Kansas,1967,3349
374,Kentucky,1967,61073
375,Louisiana,1967,37685
376,Massachusetts,1967,58183
377,Maryland,1967,49500
378,Maine,1967,58337
379,Michigan,1967,56539
380,Minnesota,1967,32385
381,Missouri,1967,31558
382,Mississippi,1967,34261
383,Montana,1967,98163
384,North Carolina,1967,118616
385,North Dakota,1967,29255
386,Nebraska,1967,13879
387,New Hampshire,1967,24089
388,New Jersey,1967,23695
389,New Mexico,1967,5678
390,Nevada,1967,18985
391,New York,1967,301664
392,Ohio,1967,39669
393,Oklahoma,1967,14604
394,Oregon,1967,243110
395,Pennsylvania,1967,68253
396,Rhode Island,1967,4150
397,South Carolina,1967,66176
398,South Dakota,1967,52576
399,Tennessee,1967,147297
400,Texas,1967,49944
401,Utah,1967,13266
402,Virginia,1967,61774
403,Vermont,1967,15167
404,Washington,1967,678045
405,Wisconsin,1967,61003
406,West Virginia,1967,22471
407,Wyoming,1967,9641
408,Alaska,1968,8486
409,Alabama,1968,129673
410,Arkansas,1968,64986
411,Arizona,1968,63456
412,California,1968,397366
413,Colorado,1968,17248
414,Connecticut,1968,18657
415,District of Columbia,1968,120
416,Delaware,1968,6594
417,Florida,1968,49556
418,Georgia,1968,106371
419,Hawaii,1968,1657
420,Iowa,1968,16244
421,Idaho,1968,80804
422,Illinois,1968,40029
423,Indiana,1968,28677
424,Kansas,1968,3459
425,Kentucky,1968,53358
426,Louisiana,1968,40791
427,Massachusetts,1968,62101
428,Maryland,1968,47752
429,Maine,1968,59840
430,Michigan,1968,56320
431,Minnesota,1968,33828
432,Missouri,1968,39086
433,Mississippi,1968,35452
434,Montana,1968,100651
435,North Carolina,1968,117146
436,North Dakota,1968,26339
437,Nebraska,1968,14714
438,New Hampshire,1968,25155
439,New Jersey,1968,24678
440,New Mexico,1968,5706
441,Nevada,1968,19142
442,New York,1968,320307
443,Ohio,1968,43465
444,Oklahoma,1968,23406
445,Oregon,1968,271743
446,Pennsylvania,1968,62881
447,Rhode Island,1968,4266
448,South Carolina,1968,69381
449,South Dakota,1968,59858
450,Tennessee,1968,132020
451,Texas,1968,62939
452,Utah,1968,12791
453,Virginia,1968,63863
454,Vermont,1968,15086
455,Washington,1968,736245
456,Wisconsin,1968,65830
457,West Virginia,1968,21573
458,Wyoming,1968,11560
459,Alaska,1969,8455
460,Alabama,1969,131856
461,Arkansas,1969,64813
462,Arizona,1969,67840
463,California,1969,544918
464,Colorado,1969,18181
465,Connecticut,1969,19701
466,District of Columbia,1969,108
467,Delaware,1969,7073
468,Florida,1969,51489
469,Georgia,1969,105812
470,Hawaii,1969,1773
471,Iowa,1969,15250
472,Idaho,1969,76228
473,Illinois,1969,41716
474,Indiana,1969,29971
475,Kansas,1969,3280
476,Kentucky,1969,51326
477,Louisiana,1969,40698
478,Massachusetts,1969,64611
479,Maryland,1969,45515
480,Maine,1969,61658
481,Michigan,1969,56624
482,Minnesota,1969,34190
483,Missouri,1969,39601
484,Mississippi,1969,34609
485,Montana,1969,106143
486,North Carolina,1969,119495
487,North Dakota,1969,31071
488,Nebraska,1969,14532
489,New Hampshire,1969,27816
490,New Jersey,1969,25354
491,New Mexico,1969,5682
492,Nevada,1969,18771
493,New York,1969,339647
494,Ohio,1969,44467
495,Oklahoma,1969,26940
496,Oregon,1969,350230
497,Pennsylvania,1969,61805
498,Rhode Island,1969,4428
499,South Carolina,1969,73251
500,South Dakota,1969,67419
501,Tennessee,1969,131914
502,Texas,1969,64351
503,Utah,1969,13957
504,Virginia,1969,64159
505,Vermont,1969,16109
506,Washington,1969,772827
507,Wisconsin,1969,62804
508,West Virginia,1969,21430
509,Wyoming,1969,12992
510,Alaska,1970,8835
511,Alabama,1970,132471
512,Arkansas,1970,56933
513,Arizona,1970,68919
514,California,1970,521978
515,Colorado,1970,21329
516,Connecticut,1970,19293
517,District of Columbia,1970,113
518,Delaware,1970,7021
519,Florida,1970,51035
520,Georgia,1970,98222
521,Hawaii,1970,1559
522,Iowa,1970,16080
523,Idaho,1970,85735
524,Illinois,1970,41064
525,Indiana,1970,28494
526,Kansas,1970,3730
527,Kentucky,1970,57023
528,Louisiana,1970,41620
529,Massachusetts,1970,65043
530,Maryland,1970,51782
531,Maine,1970,59420
532,Michigan,1970,54309
533,Minnesota,1970,32822
534,Missouri,1970,33344
535,Mississippi,1970,33527
536,Montana,1970,98397
537,North Carolina,1970,111796
538,North Dakota,1970,29922
539,Nebraska,1970,15950
540,New Hampshire,1970,25321
541,New Jersey,1970,25906
542,New Mexico,1970,5548
543,Nevada,1970,18322
544,New York,1970,325491
